"","Date/Time","Pedestrians","Towards_Manhattan","Towards_Brooklyn","Weather","Temp","Events"
"210","12/1/17 22:00",144,98,46,"clear-night",40,""
"211","12/2/17 9:00",754,418,336,"clear-day",38,""
"212","10/1/17 10:00",2478,1906,572,"clear-day",57,""
"213","12/31/17 11:00",1493,825,668,"clear-day",15,"New Year's Eve"
"214","12/11/17 1:00",9,6,3,"cloudy",34,""
"215","2/3/18 17:00",1176,504,672,"clear-day",30,""
"216","11/14/17 22:00",138,94,44,"partly-cloudy-night",38,""
"217","12/14/17 12:00",815,359,456,"partly-cloudy-day",30,""
"218","11/29/17 10:00",629,366,263,"partly-cloudy-day",52,""
"219","12/9/17 15:00",652,364,288,"fog",31,""
"220","12/7/17 0:00",26,15,11,"partly-cloudy-night",38,""
"221","10/17/17 1:00",7,3,4,"clear-night",46,""
"222","10/17/17 0:00",31,16,15,"clear-night",47,""
"223","10/3/17 8:00",390,162,228,"clear-day",52,""
"224","12/8/17 23:00",77,54,23,"partly-cloudy-night",35,""
"225","11/17/17 9:00",503,275,228,"clear-day",41,""
"226","1/17/18 15:00",376,201,175,"partly-cloudy-day",33,""
"227","1/20/18 22:00",124,55,69,"clear-night",40,""
"228","12/13/17 4:00",1,0,1,"clear-night",21,""
"229","11/24/17 14:00",2344,1030,1314,"clear-day",50,"Black Friday"
"230","10/23/17 5:00",24,14,10,"partly-cloudy-night",59,""
"231","2/3/18 4:00",0,0,0,"clear-night",16,""
"232","12/24/17 19:00",421,167,254,"partly-cloudy-night",38,"Christmas Eve"
"233","10/23/17 22:00",127,58,69,"clear-night",69,""
"234","10/6/17 22:00",238,100,138,"clear-night",69,""
"235","1/23/18 4:00",5,2,3,"fog",40,""
"236","1/30/18 14:00",510,252,258,"rain",35,""
"237","2/4/18 20:00",11,10,1,"rain",42,""
"238","12/12/17 7:00",140,59,81,"partly-cloudy-night",44,""
"239","12/17/17 19:00",455,276,179,"clear-night",35,""
"240","10/21/17 20:00",514,245,269,"clear-night",61,""
"241","12/31/17 0:00",12,2,10,"clear-night",19,"New Year's Eve"
